time [sec], angle [deg], angle velocity [deg/sec]
1.64,-0.088826,-145.254,2.57065
1.65,-1.52356,-141.646,2.53782
1.66,-2.92082,-137.761,2.50094
1.67,-4.27792,-133.617,2.46017
1.68,-5.59234,-129.23,2.41561
1.69,-6.86175,-124.616,2.36738
1.7,-8.08397,-119.794,2.31555
1.71,-9.257,-114.78,2.26018
1.72,-10.379,-109.591,2.20133
1.73,-11.4483,-104.245,2.13905
1.74,-12.4634,-98.7589,2.07338
1.75,-13.4231,-93.15,2.00437
1.76,-14.3261,-87.4353,1.93207
1.77,-15.1715,-81.6321,1.85656
1.78,-15.9585,-75.757,1.7779
1.79,-16.6864,-69.8268,1.69622
1.8,-17.3549,-63.8578,1.61162
1.81,-17.9635,-57.8661,1.52426
1.82,-18.5122,-51.8674,1.43431
1.83,-19.0009,-45.8773,1.34197
1.84,-19.4298,-39.9108,1.24745
1.85,-19.7992,-33.9824,1.15103
1.86,-20.1096,-28.1064,1.05296
1.87,-20.3616,-22.2966,0.953543
1.88,-20.5558,-16.566,0.853103
1.89,-20.6932,-10.9275,0.751972
1.9,-20.7747,-5.39333,0.650494
1.91,-20.8015,0.0249972,0.549025
1.92,-20.7746,5.31635,0.447923
1.93,-20.6956,10.4702,0.347548
1.94,-20.5657,15.4768,0.248256
1.95,-20.3866,20.3267,0.150393
1.96,-20.1597,25.0113,0.0542933
1.97,-19.8869,29.5225,-0.0397228
1.98,-19.5699,33.8529,-0.131355
1.99,-19.2105,37.9958,-0.220324
2,-18.8106,41.945,-0.306373
2.01,-18.3723,45.6949,-0.389273
2.02,-17.8974,49.2407,-0.468815
2.03,-17.3881,52.5782,-0.544823
2.04,-16.8466,55.7038,-0.617144
2.05,-16.2748,58.6143,-0.685651
2.06,-15.675,61.3076,-0.750244
2.07,-15.0494,63.7818,-0.810847
2.08,-14.4001,66.0357,-0.867408
2.09,-13.7294,68.0688,-0.919895
2.1,-13.0395,69.8811,-0.968297
2.11,-12.3325,71.4731,-1.01262
2.12,-11.6107,72.846,-1.05289
2.13,-10.8763,74.0013,-1.08915
2.14,-10.1314,74.9413,-1.12145
2.15,-9.37819,75.6686,-1.14984
2.16,-8.61874,76.1863,-1.17441
2.17,-7.85515,76.498,-1.19523
2.18,-7.08945,76.6077,-1.21238
2.19,-6.32365,76.52,-1.22597
2.2,-5.55969,76.2396,-1.23608
2.21,-4.79948,75.7717,-1.24281
2.22,-4.04487,75.122,-1.24627
2.23,-3.29763,74.2964,-1.24655
2.24,-2.5595,73.3011,-1.24376
2.25,-1.83215,72.1425,-1.238
2.26,-1.11717,70.8275,-1.22937
2.27,-0.4161,69.3631,-1.21798
2.28,0.269613,67.7565,-1.20392
2.29,0.93858,66.0151,-1.1873
2.3,1.58949,64.1465,-1.16821
2.31,2.22111,62.1584,-1.14676
2.32,2.83229,60.0587,-1.12305
2.33,3.42194,57.8554,-1.09718
2.34,3.98908,55.5565,-1.06925
2.35,4.53278,53.1701,-1.03936
2.36,5.05221,50.7042,-1.00761
2.37,5.54663,48.1671,-0.97411
2.38,6.01534,45.5668,-0.938966
2.39,6.45778,42.9115,-0.902283
2.4,6.87342,40.2092,-0.864172
2.41,7.26183,37.4679,-0.824742
2.42,7.62267,34.6954,-0.784109
2.43,7.95566,31.8996,-0.742386
2.44,8.26061,29.0881,-0.699693
2.45,8.5374,26.2684,-0.656148
2.46,8.78598,23.4479,-0.611873
2.47,9.00638,20.6338,-0.56699
2.48,9.1987,17.8332,-0.521624
2.49,9.36311,15.0527,-0.475899
2.5,9.49984,12.2991,-0.429939
2.51,9.6092,9.57862,-0.38387
2.52,9.69154,6.89752,-0.337816
2.53,9.7473,4.26166,-0.2919
2.54,9.77695,1.67669,-0.246243
2.55,9.78102,-0.851994,-0.200964
2.56,9.76011,-3.31929,-0.15618
2.57,9.71486,-5.72035,-0.112003
2.58,9.64594,-8.05062,-0.0685438
2.59,9.55409,-10.3058,-0.0259061
2.6,9.44009,-12.482,0.015809
2.61,9.30473,-14.5754,0.0565064
2.62,9.14887,-16.5827,0.096096
2.63,8.97337,-18.5008,0.134494
2.64,8.77916,-20.3269,0.171621
2.65,8.56715,-22.0585,0.207406
2.66,8.33831,-23.6935,0.241782
2.67,8.09361,-25.2298,0.274691
2.68,7.83405,-26.666,0.306078
2.69,7.56063,-28.0006,0.335897
2.7,7.27438,-29.2328,0.364107
2.71,6.97632,-30.3617,0.390674
2.72,6.66749,-31.3869,0.41557
2.73,6.34893,-32.3082,0.438771
2.74,6.02167,-33.1258,0.460263
2.75,5.68676,-33.8399,0.480033
2.76,5.34521,-34.4512,0.498075
2.77,4.99807,-34.9605,0.514389
2.78,4.64634,-35.3689,0.528979
2.79,4.29103,-35.6777,0.541853
2.8,3.93311,-35.8885,0.553024
2.81,3.57358,-36.0031,0.562508
2.82,3.21337,-36.0233,0.570327
2.83,2.85342,-35.9515,0.576504
2.84,2.49464,-35.7898,0.581067
2.85,2.13791,-35.5408,0.584046
2.86,1.7841,-35.2073,0.585475
2.87,1.43404,-34.7919,0.58539
2.88,1.08853,-34.2978,0.583829
2.89,0.748336,-33.728,0.580833
2.9,0.414209,-33.0857,0.576445
2.91,0.0868533,-32.3742,0.570709
2.92,-0.233056,-31.597,0.563674
2.93,-0.544879,-30.7576,0.555386
2.94,-0.848013,-29.8596,0.545897
2.95,-1.14189,-28.9067,0.535258
2.96,-1.42598,-27.9025,0.523522
2.97,-1.69978,-26.8509,0.510742
2.98,-1.96285,-25.7556,0.496975
2.99,-2.21476,-24.6203,0.482275
3,-2.45514,-23.449,0.466701
3.01,-2.68363,-22.2455,0.450311
3.02,-2.89995,-21.0136,0.433163
3.03,-3.10382,-19.757,0.415316
3.04,-3.29502,-18.4796,0.396831
3.05,-3.47336,-17.1851,0.377766
3.06,-3.63868,-15.8772,0.358184
3.07,-3.79087,-14.5595,0.338143
3.08,-3.92985,-13.2357,0.317704
3.09,-4.05558,-11.9091,0.296929
3.1,-4.16804,-10.5834,0.275875
3.11,-4.26726,-9.2617,0.254604
3.12,-4.35329,-7.94744,0.233173
3.13,-4.42624,-6.64373,0.211641
3.14,-4.48621,-5.35366,0.190066
3.15,-4.53337,-4.08017,0.168503
3.16,-4.56788,-2.82613,0.147007
3.17,-4.58997,-1.59427,0.125633
3.18,-4.59985,-0.387204,0.104432
3.19,-4.5978,0.792575,0.0834563
3.2,-4.5841,1.94271,0.062754
3.21,-4.55905,3.06096,0.0423728
3.22,-4.52299,4.14523,0.0223581
3.23,-4.47627,5.19355,0.00275363
3.24,-4.41925,6.20411,-0.0163993
3.25,-4.35232,7.17521,-0.0350618
3.26,-4.27588,8.10531,-0.0531963
3.27,-4.19035,8.993,-0.0707684
3.28,-4.09617,9.83702,-0.0877457
3.29,-3.99376,10.6362,-0.104098
3.3,-3.88359,11.3897,-0.119798
3.31,-3.76612,12.0965,-0.134821
3.32,-3.64182,12.7559,-0.149143
3.33,-3.51116,13.3675,-0.162744
3.34,-3.37463,13.9307,-0.175607
3.35,-3.23271,14.4453,-0.187717
3.36,-3.08589,14.9111,-0.199059
3.37,-2.93465,15.328,-0.209624
3.38,-2.77949,15.6962,-0.219403
3.39,-2.62089,16.0158,-0.22839
3.4,-2.45933,16.2871,-0.23658
3.41,-2.29531,16.5107,-0.243974
3.42,-2.12928,16.687,-0.25057
3.43,-1.96172,16.8167,-0.256371
3.44,-1.7931,16.9006,-0.261382
3.45,-1.62386,16.9395,-0.265608
3.46,-1.45445,16.9344,-0.269059
3.47,-1.28531,16.8864,-0.271744
3.48,-1.11686,16.7965,-0.273674
3.49,-0.949519,16.6659,-0.274863
3.5,-0.783677,16.496,-0.275325
3.51,-0.619726,16.2881,-0.275077
3.52,-0.458037,16.0436,-0.274136
3.53,-0.29897,15.7641,-0.272521
3.54,-0.142867,15.4509,-0.270252
3.55,0.00994261,15.1058,-0.267351
3.56,0.159148,14.7304,-0.263839
3.57,0.304454,14.3262,-0.25974
3.58,0.445582,13.895,-0.255077
3.59,0.582271,13.4386,-0.249876
3.6,0.714276,12.9587,-0.244163
3.61,0.841373,12.4571,-0.237964
3.62,0.963352,11.9355,-0.231306
3.63,1.08002,11.3957,-0.224216
3.64,1.19121,10.8396,-0.216723
3.65,1.29677,10.269,-0.208854
3.66,1.39655,9.68553,-0.200638
3.67,1.49044,9.09112,-0.192104
3.68,1.57834,8.4875,-0.183281
3.69,1.66016,7.87642,-0.174199
3.7,1.73585,7.25961,-0.164885
3.71,1.80534,6.63877,-0.155369
3.72,1.86862,6.01558,-0.14568
3.73,1.92565,5.39168,-0.135847
3.74,1.97645,4.76868,-0.125897
3.75,2.02103,4.14813,-0.115859
3.76,2.05943,3.53156,-0.10576
3.77,2.09168,2.92044,-0.0956274
3.78,2.11786,2.31621,-0.085488
3.79,2.13804,1.72023,-0.0753676
3.8,2.1523,1.13384,-0.0652916
3.81,2.16075,0.558291,-0.0552846
3.82,2.1635,-0.00519559,-0.0453706
3.83,2.16069,-0.555471,-0.0355727
3.84,2.15244,-1.09144,-0.0259134
3.85,2.13891,-1.61209,-0.0164138
3.86,2.12025,-2.11644,-0.00709483
3.87,2.09664,-2.60358,0.00202412
3.88,2.06824,-3.0727,0.0109244
3.89,2.03525,-3.52301,0.0195884
3.9,1.99785,-3.9538,0.0279993
3.91,1.95624,-4.36445,0.0361418
3.92,1.91063,-4.75437,0.0440012
3.93,1.86122,-5.12306,0.0515642
3.94,1.80824,-5.47009,0.0588183
3.95,1.75189,-5.79506,0.0657523
3.96,1.69241,-6.09768,0.0723561
3.97,1.63002,-6.37769,0.0786205
3.98,1.56493,-6.63491,0.0845375
3.99,1.49739,-6.86923,0.0901002
4,1.42763,-7.08058,0.0953028
4.01,1.35586,-7.26897,0.10014
4.02,1.28232,-7.43444,0.104609
4.03,1.20725,-7.57712,0.108707
4.04,1.13086,-7.69718,0.112432
4.05,1.05338,-7.79485,0.115783
4.06,0.975033,-7.87038,0.11876
4.07,0.896042,-7.92413,0.121366
4.08,0.816622,-7.95645,0.123601
4.09,0.736983,-7.96777,0.125469
4.1,0.657335,-7.95854,0.126974
4.11,0.577879,-7.92929,0.128121
4.12,0.498814,-7.88054,0.128915
4.13,0.420332,-7.81288,0.129362
4.14,0.342618,-7.72692,0.12947
4.15,0.265852,-7.62332,0.129246
4.16,0.190208,-7.50274,0.128698
4.17,0.115851,-7.3659,0.127836
4.18,0.0429415,-7.21352,0.126669
4.19,-0.0283699,-7.04635,0.125207
4.2,-0.0979389,-6.86517,0.123461
